trialid,trialid_critical,e,e.norm,n_back,ppid,run,event.order,event.x,critical,lead,fixation_number,gte.e,gte.norm,h_max
14_TRUE_3_TRUE,14_TRUE_3_TRUE_FALSE,0.567956108374103,0.133705143363376,TRUE,14,2,2,3,FALSE,TRUE,159,0.525930316360737,0.123811659583103,4.24782543204448
14_TRUE_4_5,14_TRUE_4_5_TRUE,0.184117426928267,0.0433439249973253,TRUE,14,2,3,4,TRUE,TRUE,143,0.221799859095066,0.0522149185844282,4.24782543204448
14_TRUE_5_TRUE,14_TRUE_5_TRUE_FALSE,0.760732630455505,0.179087545527822,TRUE,14,2,3,5,FALSE,TRUE,144,0.670442543765365,0.157831943541682,4.24782543204448
14_TRUE_6_3,14_TRUE_6_3_TRUE,0.537652049125682,0.126571126268461,TRUE,14,2,4,6,TRUE,TRUE,162,0.537358913277615,0.126502117818666,4.24782543204448
14_TRUE_7_TRUE,14_TRUE_7_TRUE_FALSE,0.60283017674662,0.141915007193805,TRUE,14,2,4,7,FALSE,TRUE,138,0.337436650947343,0.0794375042820285,4.24782543204448
14_TRUE_8_TRUE,14_TRUE_8_TRUE_FALSE,0.818900338169687,0.192781071461204,TRUE,14,2,5,8,FALSE,TRUE,129,0.689773264466771,0.16238267685468,4.24782543204448
14_TRUE_9_FALSE,14_TRUE_9_FALSE_FALSE,0.621825712600702,0.146386833109904,TRUE,14,2,6,9,FALSE,FALSE,206,0.556652286339037,0.131044058953035,4.24782543204448
17_FALSE_10_TRUE,17_FALSE_10_TRUE_FALSE,1.96686145895662,0.46302784575824,FALSE,17,2,6,10,FALSE,TRUE,78,0.890183780583211,0.209562232446724,4.24782543204448
17_FALSE_1_3,17_FALSE_1_3_TRUE,2.09191591123792,0.492467485941643,FALSE,17,2,1,1,TRUE,TRUE,158,0.988297316231186,0.232659588309757,4.24782543204448
17_FALSE_2_TRUE,17_FALSE_2_TRUE_FALSE,2.08813619062864,0.491577684637483,FALSE,17,2,1,2,FALSE,TRUE,168,0.985078145796014,0.231901748684125,4.24782543204448
17_FALSE_3_5,17_FALSE_3_5_TRUE,2.71720015245626,0.639668507080921,FALSE,17,2,2,3,TRUE,TRUE,87,0.799163578986829,0.188134750773454,4.24782543204448
